game_id,home_team_alias,home_team,away_team_alias,away_team,date,time_zone
382562e9-2539-4fa9-b7c5-495e43dcb19b,NSH,Nashville Predators,CBJ,Columbus Blue Jackets,2022-11-27T01:00:00Z,US/Central
3eb5c1fc-a8bb-45c8-9005-4e6d5e8f38f7,COL,Colorado Avalanche,DAL,Dallas Stars,2022-11-27T02:00:00Z,US/Mountain
040feef3-52c1-4b60-bb10-5ec157875543,VGK,Vegas Golden Knights,VAN,Vancouver Canucks,2022-11-27T03:00:00Z,US/Pacific
41c2bd2a-68e1-4dbc-9980-5763bec4e1c8,MIN,Minnesota Wild,ARI,Arizona Coyotes,2022-11-27T19:00:00Z,US/Central
df791e1f-7b30-4a31-b541-ee4bd0804c8c,CHI,Chicago Blackhawks,WPG,Winnipeg Jets,2022-11-28T00:00:00Z,US/Central
085090af-b02f-408a-b55c-31306064d44b,SJ,San Jose Sharks,VAN,Vancouver Canucks,2022-11-28T01:00:00Z,US/Pacific
08f31449-3c66-475a-bd78-40e4ed16490f,ANA,Anaheim Ducks,SEA,Seattle Kraken,2022-11-28T01:00:00Z,US/Pacific
7194c6f5-fb36-45c2-b2c1-202d07ef5aeb,LA,Los Angeles Kings,OTT,Ottawa Senators,2022-11-28T03:30:00Z,US/Pacific
219757db-ea33-45d0-b06a-e4114628c39a,DET,Detroit Red Wings,TOR,Toronto Maple Leafs,2022-11-29T00:00:00Z,US/Eastern
64ae70d8-5f69-441d-9563-08ace251d2f1,CBJ,Columbus Blue Jackets,VGK,Vegas Golden Knights,2022-11-29T00:00:00Z,US/Eastern
8315492a-a640-41cb-9b5c-e0f6261827d7,NYR,New York Rangers,NJ,New Jersey Devils,2022-11-29T00:00:00Z,US/Eastern
f5f70ef1-8108-4a23-ba1e-147bd98d9ab8,BUF,Buffalo Sabres,TB,Tampa Bay Lightning,2022-11-29T00:00:00Z,US/Eastern
05dd7fca-c437-4a00-bd44-b811e1d8b941,STL,St. Louis Blues,DAL,Dallas Stars,2022-11-29T01:00:00Z,US/Central
1f722712-37d8-4c1a-a840-636255987c37,EDM,Edmonton Oilers,FLA,Florida Panthers,2022-11-29T02:30:00Z,US/Mountain
8aaaf773-7386-4eea-93ad-9f899f1de3b5,BOS,Boston Bruins,TB,Tampa Bay Lightning,2022-11-30T00:00:00Z,US/Eastern
d6aaa02c-b400-445e-8703-f3f1c80e968c,MTL,Montreal Canadiens,SJ,San Jose Sharks,2022-11-30T00:00:00Z,US/Eastern
ed17addc-2bdf-4dac-ba82-3bb51d8fd2a5,PIT,Pittsburgh Penguins,CAR,Carolina Hurricanes,2022-11-30T00:00:00Z,US/Eastern
d734c1d8-4f4b-4d7c-92a1-f021be9e9d26,PHI,Philadelphia Flyers,NYI,New York Islanders,2022-11-30T00:30:00Z,US/Eastern
138e6e33-5d01-4b77-8fd4-8d7f5d30455e,WPG,Winnipeg Jets,COL,Colorado Avalanche,2022-11-30T01:00:00Z,US/Central
1ee056d9-679f-44f4-8b85-bddf971a5278,NSH,Nashville Predators,ANA,Anaheim Ducks,2022-11-30T01:00:00Z,US/Central
80545921-58f4-4783-9779-94515fa09063,CGY,Calgary Flames,FLA,Florida Panthers,2022-11-30T02:00:00Z,US/Mountain
b86e801f-a92f-4dc7-9795-035ed9f963cb,VAN,Vancouver Canucks,WSH,Washington Capitals,2022-11-30T03:00:00Z,US/Pacific
1811d802-c3bb-47a5-9b59-8e832304109e,LA,Los Angeles Kings,SEA,Seattle Kraken,2022-11-30T03:30:00Z,US/Pacific
50815939-ed3b-4e42-a814-adf7363aa24f,OTT,Ottawa Senators,NYR,New York Rangers,2022-12-01T00:00:00Z,US/Eastern
a240968c-b9e2-4b9a-8938-7ac88db1c195,TOR,Toronto Maple Leafs,SJ,San Jose Sharks,2022-12-01T00:00:00Z,US/Eastern
a8639586-7612-41c4-b932-5570edd7e420,DET,Detroit Red Wings,BUF,Buffalo Sabres,2022-12-01T00:00:00Z,US/Eastern
6d9ee5f7-146c-44e7-bda3-561000cc8954,CHI,Chicago Blackhawks,EDM,Edmonton Oilers,2022-12-01T02:30:00Z,US/Central
426a2dcf-6259-430c-a058-a31dd2cd88a4,PHI,Philadelphia Flyers,TB,Tampa Bay Lightning,2022-12-02T00:00:00Z,US/Eastern
8bf7878d-d947-4540-a103-88f97fcb3ad7,BUF,Buffalo Sabres,COL,Colorado Avalanche,2022-12-02T00:00:00Z,US/Eastern
cd757ab5-9bfc-48ed-be3d-b4837510efb5,PIT,Pittsburgh Penguins,VGK,Vegas Golden Knights,2022-12-02T00:00:00Z,US/Eastern
d5d15f32-4ebd-450c-9ab8-5a9e5de0bfce,NJ,New Jersey Devils,NSH,Nashville Predators,2022-12-02T00:00:00Z,US/Eastern
da08a97a-ab57-4030-b305-1437a42ed9f8,MIN,Minnesota Wild,EDM,Edmonton Oilers,2022-12-02T01:00:00Z,US/Central
f30a964d-cdb2-43e1-a26a-2859f71fc477,STL,St. Louis Blues,CAR,Carolina Hurricanes,2022-12-02T01:00:00Z,US/Central
3c2a6d37-a77d-49f7-873a-feb20f8cb745,DAL,Dallas Stars,ANA,Anaheim Ducks,2022-12-02T01:30:00Z,US/Central
a7130795-71a3-4796-b086-a2f190100b9c,CGY,Calgary Flames,MTL,Montreal Canadiens,2022-12-02T02:00:00Z,US/Mountain
ddb9554e-586e-4deb-96d3-702947c871ae,SEA,Seattle Kraken,WSH,Washington Capitals,2022-12-02T03:00:00Z,US/Pacific
f4400b4c-bb99-48bb-8761-450275212a80,VAN,Vancouver Canucks,FLA,Florida Panthers,2022-12-02T03:00:00Z,US/Pacific
4c93b76a-5a01-42e3-be39-1407a4419892,LA,Los Angeles Kings,ARI,Arizona Coyotes,2022-12-02T03:30:00Z,US/Pacific
ed9f1bf9-ade2-4b74-b514-c6031a77aa78,NYR,New York Rangers,OTT,Ottawa Senators,2022-12-03T00:00:00Z,US/Eastern
839f95a5-fc7a-4086-9a57-30903e2b9250,NYI,New York Islanders,NSH,Nashville Predators,2022-12-03T00:30:00Z,US/Eastern
57b06852-7909-4842-924a-95cfe38e7a52,WPG,Winnipeg Jets,CBJ,Columbus Blue Jackets,2022-12-03T01:00:00Z,US/Central
260d41b2-062e-4321-8247-4ec36e3f891f,MIN,Minnesota Wild,ANA,Anaheim Ducks,2022-12-03T19:00:00Z,US/Central
183988d2-c6ea-4d8b-834f-61b7ee04ea33,DET,Detroit Red Wings,VGK,Vegas Golden Knights,2022-12-04T00:00:00Z,US/Eastern
42c15d30-1cac-492e-9e93-a5d570a47a94,PIT,Pittsburgh Penguins,STL,St. Louis Blues,2022-12-04T00:00:00Z,US/Eastern
4e22510a-31c2-486a-b28d-f01c880c354e,TB,Tampa Bay Lightning,TOR,Toronto Maple Leafs,2022-12-04T00:00:00Z,US/Eastern
7e2b0ae0-774e-49d9-9e79-56911f0e9155,BOS,Boston Bruins,COL,Colorado Avalanche,2022-12-04T00:00:00Z,US/Eastern
a1eec2fd-d3ee-4ea7-b8be-d396d1ed7c8a,OTT,Ottawa Senators,SJ,San Jose Sharks,2022-12-04T00:00:00Z,US/Eastern
dd1a8783-3d71-40de-b68f-4d09747e9208,PHI,Philadelphia Flyers,NJ,New Jersey Devils,2022-12-04T00:00:00Z,US/Eastern
f63a9102-e761-4624-8878-db84aec40e90,EDM,Edmonton Oilers,MTL,Montreal Canadiens,2022-12-04T00:00:00Z,US/Mountain
32bf4e32-8d8b-42e7-8c52-1e94ae92b6f5,NYR,New York Rangers,CHI,Chicago Blackhawks,2022-12-04T00:30:00Z,US/Eastern
5dd23aaa-d0a3-4dfc-bfef-6fff4d06099b,SEA,Seattle Kraken,FLA,Florida Panthers,2022-12-04T03:00:00Z,US/Pacific
a20b321a-6e84-4f01-9cda-1c7eab8c6899,VAN,Vancouver Canucks,ARI,Arizona Coyotes,2022-12-04T03:00:00Z,US/Pacific
b6f2d8fe-e366-4f62-83e8-5997174478ed,CGY,Calgary Flames,WSH,Washington Capitals,2022-12-04T03:00:00Z,US/Mountain
def8e41f-44d5-4350-b03c-5f0351572cbd,LA,Los Angeles Kings,CAR,Carolina Hurricanes,2022-12-04T03:30:00Z,US/Pacific
10b9ce0f-fd31-4d1f-828b-4f20d628f14f,DAL,Dallas Stars,MIN,Minnesota Wild,2022-12-04T20:00:00Z,US/Central
4d87b7c2-894b-4507-a8b7-6966a69c03c4,WPG,Winnipeg Jets,ANA,Anaheim Ducks,2022-12-04T20:00:00Z,US/Central
e47f9734-60a5-45d4-9ba4-b91906efe817,CBJ,Columbus Blue Jackets,DET,Detroit Red Wings,2022-12-04T23:00:00Z,US/Eastern
0c74eaf5-fba1-4210-b32f-febcf8662de2,BUF,Buffalo Sabres,SJ,San Jose Sharks,2022-12-05T00:00:00Z,US/Eastern
cdbc2786-c7a4-40fe-b7e7-9e3c567ae83c,NYI,New York Islanders,CHI,Chicago Blackhawks,2022-12-05T00:30:00Z,US/Eastern
2a69f19a-829f-481a-8459-6c984d7a0167,BOS,Boston Bruins,VGK,Vegas Golden Knights,2022-12-06T00:00:00Z,US/Eastern
50bb2386-57be-486e-97ac-142ec67e9737,NYR,New York Rangers,STL,St. Louis Blues,2022-12-06T00:00:00Z,US/Eastern
e2f493b6-82de-47a1-a82e-b58a9a3b346a,PHI,Philadelphia Flyers,COL,Colorado Avalanche,2022-12-06T00:00:00Z,US/Eastern
670e42da-3f94-4eda-b92f-c4de181f7ae3,EDM,Edmonton Oilers,WSH,Washington Capitals,2022-12-06T01:30:00Z,US/Mountain
9ee0ee91-21f9-43d8-9a86-456ee45b4bc5,CGY,Calgary Flames,ARI,Arizona Coyotes,2022-12-06T02:00:00Z,US/Mountain
11d58fa9-c32b-40c0-86e2-b1ded25b4bf9,VAN,Vancouver Canucks,MTL,Montreal Canadiens,2022-12-06T03:30:00Z,US/Pacific
1b8547e5-3114-46bf-9a74-f5138d82ab4b,PIT,Pittsburgh Penguins,CBJ,Columbus Blue Jackets,2022-12-07T00:00:00Z,US/Eastern
1e93c9dd-52f6-4413-b4c2-fab04a767af0,NJ,New Jersey Devils,CHI,Chicago Blackhawks,2022-12-07T00:00:00Z,US/Eastern
81d9dac0-6818-4bb3-b740-6bcfcba26033,OTT,Ottawa Senators,LA,Los Angeles Kings,2022-12-07T00:00:00Z,US/Eastern
ce616ee7-56a8-476b-9653-a2bdafe680da,TB,Tampa Bay Lightning,DET,Detroit Red Wings,2022-12-07T00:00:00Z,US/Eastern
bc2637e3-6456-412b-8b81-ada042fb37ff,NYI,New York Islanders,STL,St. Louis Blues,2022-12-07T00:30:00Z,US/Eastern
ee1c88df-f956-47a7-a770-f035491fa90a,WPG,Winnipeg Jets,FLA,Florida Panthers,2022-12-07T01:00:00Z,US/Central
fd6d43b0-5a9c-4115-9551-13caa4ff2665,DAL,Dallas Stars,TOR,Toronto Maple Leafs,2022-12-07T01:30:00Z,US/Central
04939d25-7a54-4c9c-bc0f-e914aa18a2d2,ANA,Anaheim Ducks,CAR,Carolina Hurricanes,2022-12-07T03:00:00Z,US/Pacific
6e5903dd-dd3c-4d12-b877-ab7c9e90dd42,SEA,Seattle Kraken,MTL,Montreal Canadiens,2022-12-07T03:00:00Z,US/Pacific
ba0b30de-70f3-438a-8947-a83dd38d3d57,PHI,Philadelphia Flyers,WSH,Washington Capitals,2022-12-08T00:00:00Z,US/Eastern
5861011a-88b5-4966-80b0-7e0f5116a89d,CBJ,Columbus Blue Jackets,BUF,Buffalo Sabres,2022-12-08T00:30:00Z,US/Eastern
733c1723-058c-489e-aa4f-d351f7ebf283,CGY,Calgary Flames,MIN,Minnesota Wild,2022-12-08T01:00:00Z,US/Mountain
2ccc0ed4-ed93-4591-a3cd-6d4fc46902c8,COL,Colorado Avalanche,BOS,Boston Bruins,2022-12-08T02:00:00Z,US/Mountain
3839d193-d8da-4622-a6b3-e3db5ca7d98b,EDM,Edmonton Oilers,ARI,Arizona Coyotes,2022-12-08T02:30:00Z,US/Mountain
7ee0cfc5-bead-418f-b151-c9ad655bdcb0,VGK,Vegas Golden Knights,NYR,New York Rangers,2022-12-08T03:00:00Z,US/Pacific
8d3213c8-bf39-4731-8c37-73ae74f756be,SJ,San Jose Sharks,VAN,Vancouver Canucks,2022-12-08T03:30:00Z,US/Pacific
66372caa-a09d-437a-9b7b-12e47d849f59,TOR,Toronto Maple Leafs,LA,Los Angeles Kings,2022-12-09T00:00:00Z,US/Eastern
f5c7eb00-47da-4579-ae2e-10bbfd81140b,TB,Tampa Bay Lightning,NSH,Nashville Predators,2022-12-09T00:00:00Z,US/Eastern
fe79f7f9-9500-4ea9-9d85-42520538572b,FLA,Florida Panthers,DET,Detroit Red Wings,2022-12-09T00:30:00Z,US/Eastern
8d8c0b3d-23cf-4f57-9752-53d9c2890325,STL,St. Louis Blues,WPG,Winnipeg Jets,2022-12-09T01:00:00Z,US/Central
98587169-070d-4ec2-b9bd-edd506a04c02,DAL,Dallas Stars,OTT,Ottawa Senators,2022-12-09T01:30:00Z,US/Central
3f2e13eb-0e5b-45d1-8436-08eb0ff0fbb3,NJ,New Jersey Devils,NYI,New York Islanders,2022-12-10T00:00:00Z,US/Eastern
6bb0baaf-9df6-4bb5-b70b-0ef06f11d6c1,BUF,Buffalo Sabres,PIT,Pittsburgh Penguins,2022-12-10T00:00:00Z,US/Eastern
c02795c4-ae82-46ae-99d7-ed4be1687907,CBJ,Columbus Blue Jackets,CGY,Calgary Flames,2022-12-10T00:00:00Z,US/Eastern
c499895c-ed8c-477c-ae37-20dc9e39c223,WSH,Washington Capitals,SEA,Seattle Kraken,2022-12-10T00:00:00Z,US/Eastern
f49c3510-4a0a-4a44-8b85-9b9197ef5213,CHI,Chicago Blackhawks,WPG,Winnipeg Jets,2022-12-10T01:30:00Z,US/Central
4dd23911-7d37-4ff6-96ef-91cf5889807e,EDM,Edmonton Oilers,MIN,Minnesota Wild,2022-12-10T02:00:00Z,US/Mountain
8296ca52-9935-4a09-b102-9750389f00b9,COL,Colorado Avalanche,NYR,New York Rangers,2022-12-10T02:00:00Z,US/Mountain
867636c0-0beb-4c55-92e5-6ac637da6a2c,ARI,Arizona Coyotes,BOS,Boston Bruins,2022-12-10T02:30:00Z,US/Mountain
1912dbf9-99a9-47fa-8383-9a831f47c085,ANA,Anaheim Ducks,SJ,San Jose Sharks,2022-12-10T03:00:00Z,US/Pacific
fac63eea-147e-4466-b823-9b25249c3bc8,VGK,Vegas Golden Knights,PHI,Philadelphia Flyers,2022-12-10T03:00:00Z,US/Pacific
4da4b2e3-5dcf-46db-8b0b-309cf3dea71e,NSH,Nashville Predators,OTT,Ottawa Senators,2022-12-10T18:30:00Z,US/Central
9effebc7-9d46-4e2f-bab5-98a25fd92240,DAL,Dallas Stars,DET,Detroit Red Wings,2022-12-10T19:00:00Z,US/Central
14c2ef26-077a-413e-89b5-fcb3d7407858,TB,Tampa Bay Lightning,FLA,Florida Panthers,2022-12-10T21:30:00Z,US/Eastern
99170f99-fedf-4389-84f9-2e8440a71373,PIT,Pittsburgh Penguins,BUF,Buffalo Sabres,2022-12-11T00:00:00Z,US/Eastern
9ace4ae4-7f78-4b4f-9e62-945bdccb0f16,TOR,Toronto Maple Leafs,CGY,Calgary Flames,2022-12-11T00:00:00Z,US/Eastern
e3fa7fb0-bd7a-48ce-a396-60c52e2b6339,MTL,Montreal Canadiens,LA,Los Angeles Kings,2022-12-11T00:00:00Z,US/Eastern
d4c7afb5-a763-4eb4-a459-f3f089c97dbd,NYI,New York Islanders,CAR,Carolina Hurricanes,2022-12-11T00:30:00Z,US/Eastern
3526310b-843b-47a8-b4c3-490339b14850,VAN,Vancouver Canucks,MIN,Minnesota Wild,2022-12-11T03:00:00Z,US/Pacific
aaf652d0-7896-4d72-a927-1f7aec8bf924,STL,St. Louis Blues,COL,Colorado Avalanche,2022-12-11T20:00:00Z,US/Central
2bd0b5d7-8036-4fb2-876f-3070f1997647,CBJ,Columbus Blue Jackets,LA,Los Angeles Kings,2022-12-11T23:00:00Z,US/Eastern
e96b4a02-b539-4434-b9ff-ecf8276f72cf,FLA,Florida Panthers,SEA,Seattle Kraken,2022-12-11T23:00:00Z,US/Eastern
0be68ef7-f9b3-4496-a0f0-cf13e3cba442,ARI,Arizona Coyotes,PHI,Philadelphia Flyers,2022-12-12T00:00:00Z,US/Mountain
3a6ea84d-85ba-4ccd-a84c-c3444b88dd2e,WPG,Winnipeg Jets,WSH,Washington Capitals,2022-12-12T00:00:00Z,US/Central
5208aa04-fc5a-47c3-8de0-d129aaf9374f,VGK,Vegas Golden Knights,BOS,Boston Bruins,2022-12-12T01:00:00Z,US/Pacific
2ae7c464-e1e1-4440-949b-4410d4267fbf,NYR,New York Rangers,NJ,New Jersey Devils,2022-12-13T00:00:00Z,US/Eastern
3d803a84-6871-4add-836b-b394a3d555b9,MTL,Montreal Canadiens,CGY,Calgary Flames,2022-12-13T00:00:00Z,US/Eastern
5ad8e1a6-770f-4dcd-b132-0011ec57b217,PIT,Pittsburgh Penguins,DAL,Dallas Stars,2022-12-13T00:00:00Z,US/Eastern
cd9b964a-c29b-4bf6-9380-151757b489d8,OTT,Ottawa Senators,ANA,Anaheim Ducks,2022-12-13T00:30:00Z,US/Eastern
